Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
GHA,Ghana,32416,Press Freedom Index,Total,23,8.75,13.5,15,8.5,9,7.5,6,8,17.27,16.29,15.5,17.95,,17.95,18.41,20.81,22.26,21.33
GHA,Ghana,32417,Press Freedom Rank,Total,28,113,17,20,102,135,104,105,131,16,16,17,22,23,26,23,27,30,30
GIN,Guinea,32416,Press Freedom Index,Total,26,33.17,24.5,26,27.5,33.5,21.5,28.5,33.5,28.49,31.67,32.56,33.08,,33.15,31.9,33.49,34.34,35.42
GIN,Guinea,32417,Press Freedom Rank,Total,36,60,42,46,47,68,34,54,71,71,91,96,102,95,101,104,107,110,109
GMB,"Gambia, The",32416,Press Freedom Index,Total,22.5,18.25,29.5,41,54,48.25,42.75,48.25,40.5,45.09,46.42,44.5,46.53,,46.7,38.36,31.35,30.62,30.76
GMB,"Gambia, The",32417,Press Freedom Rank,Total,26,24,50,70,84,93,72,91,85,136,144,144,139,136,143,122,92,87,85
GNB,Guinea-Bissau,32416,Press Freedom Index,Total,30.3,35.25,23.5,17,14.5,33.5,16.33,23.5,18.25,28.94,30.05,28.7,29.03,,30.09,30.09,30.95,32.06,32.68
GNB,Guinea-Bissau,32417,Press Freedom Rank,Total,51,65,39,24,15,68,19,46,34,77,75,75,75,73,77,83,89,94,95
GNQ,Equatorial Guinea,32416,Press Freedom Index,Total,42.8,44.75,46.25,44,48,65.25,59.25,65.5,79,67.2,67.95,66.23,66.47,,66.47,66.47,58.35,56.38,55.67
GNQ,Equatorial Guinea,32417,Press Freedom Rank,Total,71,82,82,73,73,119,92,112,130,155,162,160,161,163,171,171,165,165,164
GRC,Greece,32416,Press Freedom Index,Total,5,6,7,4,8,9.25,7.5,9,19,28.46,31.33,31.01,30.35,,30.89,29.19,29.08,28.8,29.01
GRC,Greece,32417,Press Freedom Rank,Total,77,98,110,64,101,136,104,128,37,69,88,85,85,83,88,74,65,65,70
GRD,Grenada,32416,Press Freedom Index,Total,,,12,,,,,,,,,,,,,,,,
GRD,Grenada,32417,Press Freedom Rank,Total,,,15,,,,,,,,,,,,,,,,
GTM,Guatemala,32416,Press Freedom Index,Total,27.3,30.83,16.5,21.5,21.25,33,22.64,29.5,20.25,29.39,36.61,37.92,38.03,,39.33,36.17,35.94,35.74,38.45
GTM,Guatemala,32417,Press Freedom Rank,Total,40,51,23,35,35,66,35,57,42,80,114,118,115,112,118,116,116,116,116
GUY,Guyana,32416,Press Freedom Index,Total,,,,,,,19.75,10.5,16.63,27.08,27.08,27.21,27.07,,26.8,26.25,26.63,26.63,25.61
GUY,Guyana,32417,Press Freedom Rank,Total,,,,,,,24,4,28,54,56,57,53,56,60,55,51,49,51
HKG,"Hong Kong SAR, China",32416,Press Freedom Index,Total,4.8,11,7.5,8.25,14,20,9.75,,,26.16,26.55,27.76,28.5,,29.46,29.04,29.65,30.01,30.44
HKG,"Hong Kong SAR, China",32417,Press Freedom Rank,Total,66,8,111,105,14,32,119,,,44,50,65,65,69,73,70,73,80,80
HND,Honduras,32416,Press Freedom Index,Total,,14.17,11.75,18,14.5,25.5,21.5,42,51.13,36.92,37.14,39.27,44.62,,43.75,45.23,48.53,48.2,49.35
HND,Honduras,32417,Press Freedom Rank,Total,,13,13,26,15,53,34,82,102,111,118,125,131,133,140,141,146,148,151
HRV,Croatia,32416,Press Freedom Index,Total,8.8,16.5,11.83,12.83,13,12.5,8.5,17.17,17.5,26.61,26.82,26.12,27.91,,29.59,28.94,29.03,28.51,27.95
HRV,Croatia,32417,Press Freedom Rank,Total,92,17,14,12,12,14,112,32,31,50,54,53,59,70,74,69,64,59,56
HTI,Haiti,32416,Press Freedom Index,Total,36.5,31,42.13,33.5,19.5,23.5,15.13,15,16.38,24.09,23.53,25.08,24.66,,26.36,26.82,29,30.2,31.12
HTI,Haiti,32417,Press Freedom Rank,Total,61,52,76,56,30,43,16,20,25,35,36,48,49,49,53,60,62,83,87
HUN,Hungary,32416,Press Freedom Index,Total,6.5,3.33,6,2,3,4.5,5.5,5.5,7.5,26.09,26.73,27.44,28.17,,29.01,29.11,30.44,30.84,31.76
HUN,Hungary,32417,Press Freedom Rank,Total,81,48,99,31,53,83,81,97,124,42,53,60,63,67,71,73,87,89,92
IDN,Indonesia,32416,Press Freedom Index,Total,20,34.25,37.75,26,26,30.5,27,28.5,35.83,41.05,38.15,40.75,41.72,,39.93,39.68,36.77,36.82,37.4
IDN,Indonesia,32417,Press Freedom Rank,Total,21,61,67,46,43,63,44,54,75,123,121,131,124,118,124,124,124,119,113
IND,India,32416,Press Freedom Index,Total,26.5,39,38.5,27,26.5,39.33,30,29.33,38.75,41.22,40.34,40.49,43.17,,42.94,43.24,45.67,45.33,46.56
IND,India,32417,Press Freedom Rank,Total,37,71,69,47,44,78,52,56,80,124,129,129,127,130,136,138,140,142,142
IRL,Ireland,32416,Press Freedom Index,Total,1,2.83,0.5,0.5,0.5,2,2,0,2,10.06,10.87,11.2,12.4,,14.08,14.59,15,12.6,11.91
IRL,Ireland,32417,Press Freedom Rank,Total,3,31,1,1,1,31,25,2,40,1,5,6,5,11,14,16,15,13,12
IRN,"Iran, Islamic Rep.",32416,Press Freedom Index,Total,48.3,89.33,78.3,89.17,90.88,96.5,80.33,104.14,94.56,73.4,72.29,72.32,66.52,,65.12,60.71,64.41,64.81,72.7
IRN,"Iran, Islamic Rep.",32417,Press Freedom Rank,Total,76,116,113,115,106,140,114,8,142,165,169,168,162,157,165,164,170,173,174
IRQ,Iraq,32416,Press Freedom Index,Total,79,37.5,58.5,67,66.83,67.83,59.38,53.3,45.58,44.67,45.44,47.76,54.35,,54.03,56.56,52.6,55.37,55.57
IRQ,Iraq,32417,Press Freedom Rank,Total,89,69,98,100,91,123,93,100,90,134,142,149,152,151,158,160,156,162,163
ISL,Iceland,32416,Press Freedom Index,Total,0.5,0.5,0.5,0.5,0.5,0.75,1.5,2,0,8.49,8.5,13.87,15.3,,13.03,14.1,14.71,15.12,15.37
ISL,Iceland,32417,Press Freedom Rank,Total,1,1,1,1,1,1,1,37,2,170,174,16,15,7,10,13,14,15,16
ISR,Israel,32416,Press Freedom Index,Total,30,8,8,10,12,13.25,8.83,23.75,,32.97,31.19,32.09,32.58,,31.01,30.26,30.8,30.84,30.9
ISR,Israel,32417,Press Freedom Rank,Total,49,110,115,5,9,17,113,47,,97,85,95,97,86,91,87,88,88,86
ITA,Italy,32416,Press Freedom Index,Total,11,9.75,9,8.67,9.9,11.25,8.42,12.14,15,26.11,23.75,27.94,28.93,,26.26,24.12,24.98,23.69,23.39
ITA,Italy,32417,Press Freedom Rank,Total,6,120,119,108,105,9,111,14,20,43,38,68,73,48,52,46,43,41,41
JAM,Jamaica,32416,Press Freedom Index,Total,,3.33,4.17,7.5,5.5,8.63,4.88,4.75,7.67,9.88,10.9,11.18,12.45,,12.73,11.33,11.13,10.51,9.96
JAM,Jamaica,32417,Press Freedom Rank,Total,,48,73,102,76,132,67,78,125,176,6,4,6,5,8,6,8,6,7
JOR,Jordan,32416,Press Freedom Index,Total,33.5,37,39.13,24,27.5,40.21,36,31.88,37,38.47,40.42,42.07,44.49,,43.24,41.71,43.11,42.08,42.89
JOR,Jordan,32417,Press Freedom Rank,Total,56,68,70,41,47,85,60,66,78,118,130,136,129,131,138,132,130,128,129
JPN,Japan,32416,Press Freedom Index,Total,7.5,8,10,8,12.5,11.75,6.5,3.25,2.5,25.17,26.02,26.95,28.67,,29.44,28.64,29.36,28.86,28.88
JPN,Japan,32417,Press Freedom Rank,Total,86,110,4,104,10,11,98,60,41,39,48,56,68,68,72,67,67,66,67
KAZ,Kazakhstan,32416,Press Freedom Index,Total,42,42.5,44.17,36.17,41,41.63,35.33,49.67,68.5,55.08,54.94,53.46,54.55,,54.01,54.41,52.82,54.11,50.28
KAZ,Kazakhstan,32417,Press Freedom Rank,Total,70,81,80,58,66,88,58,95,122,144,150,153,154,150,157,158,158,157,155
KEN,Kenya,32416,Press Freedom Index,Total,24.8,18.5,22.25,30,30.25,23.75,21.25,25,19,27.8,30.7,32.07,31.16,,31.2,30.82,32.44,33.72,33.65
KEN,Kenya,32417,Press Freedom Rank,Total,33,25,38,50,55,45,32,50,37,56,79,94,91,89,95,96,100,103,102
KGZ,Kyrgyz Republic,32416,Press Freedom Index,Total,31.8,32,35.25,32,34,33.6,27,40,63,32.2,31.24,30.69,30.16,,30.92,31,29.92,30.19,30.37
KGZ,Kyrgyz Republic,32417,Press Freedom Rank,Total,55,56,61,51,59,69,44,79,119,91,86,82,81,84,89,98,83,82,79
KHM,Cambodia,32416,Press Freedom Index,Total,24.3,19.5,36.5,23,27.25,25.33,35.5,35.17,43.83,41.81,40.97,40.99,40.7,,42.07,45.9,45.9,45.46,46.84
KHM,Cambodia,32417,Press Freedom Rank,Total,31,26,62,39,46,52,59,71,88,127,133,132,122,126,132,142,143,144,144
