Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SXM,Sint Maarten (Dutch part),28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SYC,Seychelles,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
SYR,Syrian Arab Republic,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
TCA,Turks and Caicos Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
TCD,Chad,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TGO,Togo,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
THA,Thailand,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
TJK,Tajikistan,28156,Is this country on the FCV list?,Value,1,0,0,1,1,1,0,0,0,0,0,0,,,,,
TKM,Turkmenistan,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
TLS,Timor-Leste,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,1,1
TON,Tonga,28156,Is this country on the FCV list?,Value,1,1,1,1,1,0,0,0,0,0,0,0,,,,,
TTO,Trinidad and Tobago,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
TUN,Tunisia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
TUR,Turkey,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
TUV,Tuvalu,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
TWN,"Taiwan, China",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
TZA,Tanzania,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
UGA,Uganda,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
UKR,Ukraine,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
URY,Uruguay,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
USA,United States,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
UZB,Uzbekistan,28156,Is this country on the FCV list?,Value,1,1,1,1,0,0,0,0,0,0,0,0,,,,,
VCT,St. Vincent and the Grenadines,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
VEN,"Venezuela, RB",28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1
VGB,British Virgin Islands,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
VIR,Virgin Islands (U.S.),28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
VNM,Vietnam,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
VUT,Vanuatu,28156,Is this country on the FCV list?,Value,1,1,1,0,0,0,0,0,0,0,0,0,,,,,
WSM,Samoa,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
YEM,"Yemen, Rep.",28156,Is this country on the FCV list?,Value,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ZAF,South Africa,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ZMB,Zambia,28156,Is this country on the FCV list?,Value,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
ZWE,Zimbabwe,28156,Is this country on the FCV list?,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
